Timestamp,State,Trial Number,Phase,Delay,Distance,Direction,P_x,P_y,P_z,O_x,O_y,O_z,O_w
1737325495.763894,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.7847714,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.806431,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.8276675,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.8486497,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.8697429,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.8906946,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.911502,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.9335585,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.9543548,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.975037,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.995899,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.0167823,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.0374863,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.0582852,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.0796912,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.1007645,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.1216235,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.142383,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.1643844,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.1852934,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.2062159,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.2269864,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.247766,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.2688441,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.289856,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.310727,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.3325016,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.3535638,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.3743737,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.3955808,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.4162853,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.4387586,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.459636,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.4803715,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.501109,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.5220556,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.5430198,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.5639467,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.5856078,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.606581,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.6276467,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.6488729,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.669701,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.6904218,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.7113342,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.7321582,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.7531235,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.7740507,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.7949748,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.8163595,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.837358,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325496.8583632,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
